DISCIPL,COMMONNAME,LEGALNAME,ADSTREET,ADSTATE,ADZIP5,PHONE,WEBURL,REVENUE15,LONGITUDE,LATITUDE,GSTREET
ART,MOBILE MUSEUM OF ART,THE MOBILE MUSEUM OF ART INC,4850 MUSEUM DR,AL,36689,2512085200,HTTP://WWW.MOBILEMUSEUMOFART.COM/,3668329,-88.15462,30.70401,4850 MUSEUM DR
ART,MONTGOMERY MUSEUM OF FINE ARTS,MONTGOMERY MUSEUM OF FINE ARTS ASSOCIATION,ONE MUSEUM DRIVE,AL,36123,3342404333,HTTP://MMFA.ORG/,2759203,-86.2087,32.3526,ONE MUSEUM DRIVE
HST,HISTORY MUSEUM OF MOBILE,MOBILE MEDICAL MUSEUM INC,111 SOUTH ROYAL STREET,AL,36602,2512087569, ,20453,-88.07704,30.69234,1664 SPRING HILL AVE
BOT,JASMINE HILL GARDENS AND OUTDOOR MUSEUM,JASMINE HILL GARDENS AND OUTDOOR MUSEUM,3001 JASMINE HILL RD,AL,36093,3342635713,HTTP://WWW.JASMINEHILL.ORG, ,-86.1874,32.49562,3001 JASMINE HILL RD
ART,JAN DEMPSEY ARTS CENTER,JAN DEMPSEY ARTS CENTER,222 E DRAKE AVE,AL,36830,3345012963, , ,-85.4782,32.61408,222 E DRAKE AVE
BOT,HUNTSVILLE BOTANICAL GARDEN,HUNTSVILLE BOTANICAL GARDEN,3737 BOB WALLACE AVE,AL,35805,2568304447, , ,-86.61819,34.71282,3737 BOB WALLACE AVE
HST,HANK WILLIAMS SENIOR BOYHOOD HOME AND MUSEUM,HANK WILLIAMS MUSEUM AND FESTIVAL INC,127 ROSE ST,AL,36033,3343762396,HTTP://WWW.HANKMUSEUM.COM/HOME/,15228,-86.74566,31.65737,127 ROSE STREET
ART,FAYETTE ART MUSEUM,FAYETTE ART MUSEUM,530 TEMPLE AVENUE NORTH,AL,35555,2059328727, , ,-87.83088,33.68726,203 TEMPLE AVE N
ART,ALABAMA FOLK ART MUSEUM,ALABAMA FOLK ART MUSEUM,1731 1ST AVE N,AL,35203,2053214929,HTTP://WWW.ARTFOLKGALLERY.ORG, ,-86.80921,33.51275,1731 1ST AVE N
HST,BIRMINGHAM HISTORY CENTER,BIRMINGHAM HISTORY CENTER,1731 1ST AVE N STE 120,AL,35203,2052024146,HTTP://WWW.BIRMINGHAMHISTORYCENTER.ORG/,188366,-86.80949,33.51496,1807 THIRD AVENUE NORTH
ART,BARE HANDS GALLERY,BARE HANDS GALLERY INC,PO BOX 13961,AL,35202, ,HTTP://WWW.BAREHANDSINC.ORG/,54487,-86.80581,33.51634,PO BOX 13961
BOT,BELLINGRATH GARDENS AND HOME,BELLINGRATH GARDENS AND HOME FOUNDATION INC,12401 BELLINGRATH GARDENS RD,AL,36582,2519732217,HTTP://WWW.BELLINGRATH.ORG,2733087,-88.15263,30.4637,12401 BELLINGRATH GARDEN
SCI,RED BAY MUSEUM,RED BAY MUSEUM,400 4TH ST SW,AL,35582, , ,0,-88.14745,34.44257,400 4TH ST SW
HST,PIONEER MUSEUM OF ALABAMA,PIONEER MUSEUM OF ALABAMA ASSN,248 HIGHWAY 231 N,AL,36081,3345663597,HTTP://WWW.PIONEER-MUSEUM.ORG,98710,-85.99719,31.85412,248 HIGHWAY 231 N
ART,BIRMINGHAM MUSEUM OF ART,BIRMINGHAM MUSEUM OF ART MEMBERS,2000 8TH AVENUE NORTH,AL,35203,2052542565,HTTP://WWW.ARTSBMA.ORG/,25404,-86.80939,33.52206,2000 8TH AVENUE NORTH
HST,BESSEMER HALL OF HISTORY,BESSEMER HALL OF HISTORY INC,1905 ALABAMA AVE,AL,35020,2054261633,HTTP://WWW.BESSEMERHALLOFHISTORY.ORG,8783,-86.95051,33.40094,1905 ALABAMA AVE
HST,BLUE AND GREY MUSEUM OF NORTH ALABAMA,BLUE AND GREY MUSEUM OF NORTH ALABAMA,723 BANK ST NW,AL,35601,2563504018,HTTP://WWW.ALABAMACIVILWARMUSEUM.COM/,34828,-86.98777,34.59053,723 BANK ST NW
ART,WALNUT GALLERY,WALNUT GALLERY INC,534 A WALNUT STREET,AL,35901,2563282836,HTTP://WWW.WALNUTGALLERY.ORG,0,-86.01258,34.01135,826 WALNUT STREET
HST,FAIRHOPE MUSEUM OF HISTORY,FRIENDS OF THE FAIRHOPE MUSEUM OF HISTORY INC,PO BOX 75,AL,36533,2519291471, ,5738,-87.9029,30.52517,24 N SECTION ST
HST,SAVING OUR FLYING HERITAGE THROUGH A FLYING MUSEUM,SAVING OUR FLYING HERITAGE THROUGH A FLYING MUSEUM,495BRENDA DR,AL,35758, , ,0,-86.74156,34.7146,189 BAITES RD
ART,ALABAMA RIVER REGION ARTS CENTER,ALABAMA RIVER REGION ARTS CENTER,300 W TALLASSEE ST,AL,36092,3345789485,HTTP://WWW.ARRAC.ORG,0,-86.20616,32.59985,PO BOX 1172
HST,ALABAMA VETERANS MUSEUM & ARCHIVES,ALABAMA VETERANS MUSEUM & ARCHIVES,PO BOX 549,AL,35612,2567717578,HTTP://WWW.ALABAMAVETERANSMUSEUM.COM,118567,-86.97072,34.80672,100 PRYOR ST W
HST,FORTSON MUSEUM & ARCHIVES,FORTSON MUSEUM & ARCHIVES,140 BLAIR FARMS RD,AL,35120, , ,0,-86.40964,33.67461,13475 US HIGHWAY 411
CMU,CHILDREN'S MUSEUM OF ALABAMA,CHILDRENS MUSEUM OF ALABAMA,PO BOX 1548,AL,36102,3348322777, ,50286,-86.31088,32.38083,105 TALLAPOOSA STREET
