DISCIPLINE,COMMONNAME,LEGALNAME,ADSTREET,ADSTATE,ADZIP5,PHONE,WEBURL,REVENUE15,LONGITUDE,LATITUDE,GSTREET
GMU,WESTERVELT-WARNER MUSEUM OF AMERICAN ART,WESTERVELT WARNER MUSEUM,8316 MOUNTBATTEN RD NE,AL,35406,2055625280,HTTP://TUSCALOOSAMOA.ORG/, ,-87.5051,33.29531,8316 MOUNTBATTEN RD NE
GMU,U. S. ARMY AVIATION MUSEUM,ARMY AVIATION MUSEUM FOUNDATION INC,6000 NOVOSEL ST,AL,36362,3345982508, ,256287,-85.71978,31.34936,PO BOX 620610
GMU,U.S. SPACE & ROCKET CENTER,U.S. SPACE & ROCKET CENTER FOUNDATION,ONE TRANQUILITY BASE,AL,35807,2568373400,HTTP://ROCKETCENTER.COM/,2022595,-86.62841,34.7138,ONE TRANQUILITY BASE
GMU,WELLBORN MUSCLECAR MUSEUM,WELLBORN MUSCLECAR MUSEUM,124 BROAD ST,AL,35010,2563298474,HTTP://WELLBORNMUSCLECARMUSEUM.COM, ,-85.95541,32.94394,124 BROAD ST
GMU,USS ALABAMA BATTLESHIP,USS ALABAMA BATTLESHIP COMMISSION,2703 BATTLESHIP PKWY,AL,36527,2514332703,HTTP://WWW.USSALABAMA.COM, ,-88.04483,30.69095,2703 BATTLESHIP PKWY
GMU,THREE NOTCH MUSEUM,THE COVINGTON HISTORICAL SOCIETY INC,HISTORIC CENTRAL ST,AL,36420,3342220674,HTTP://WWW.3NMSM.COM/,0,-86.48793,31.30243,PO BOX 1582
GMU,SPRINGVILLE MUSEUM,SPRINGVILLE MUSEUM,6496 US HIGHWAY 11,AL,35146,2054672339, , ,-86.46785,33.77722,6496 US HIGHWAY 11
GMU,THOMAS BASS MUSEUM,THOMAS BASS MUSEUM,1129 MONTEVALLO RD,AL,35094,2056992721, , ,-86.56749,33.53302,1129 MONTEVALLO ROAD SOUTHWEST
GMU,SAMUEL ULLMAN MUSEUM,SAMUEL ULLMAN MUSEUM,2150 15TH AVE S,AL,35205,2059345634, , ,-86.79146,33.49766,2150 15TH AVE S
GMU,ORANGE BEACH INDIAN AND SEA,ORANGE BEACH INDIAN AND SEA,25855 JOHN M SNOOK DR,AL,36561,2519818545, , ,-87.55306,30.27953,25855 JOHN M SNOOK DR
GMU,POARCH CREEK INDIAN MUSEUM,POARCH CREEK INDIAN MUSEUM,5811 JACK SPRINGS ROAD,AL,36502,2513689136, , ,-87.54404,31.08927,5811 JACK SPRINGS ROAD
GMU,PIEDMONT MUSEUM,PIEDMONT MUSEUM,N CENTER AVE,AL,36272,2564476904,HTTP://WWW.PIEDMONTCITY.ORG/MUSEUM.HTM, ,-85.61136,33.92352,109 N CENTER AVE
GMU,OLD DEPOT MUSEUM,OLD DEPOT MUSEUM,4 MARTIN LUTHER KING ST,AL,36703,3348742197, , ,-87.01422,32.40885,4 MARTIN LUTHER KING ST
GMU,PHOENIX FIRE MUSEUM,PHOENIX FIRE MUSEUM,203 S CLAIBORNE ST,AL,36602,2512087569, , ,-88.04333,30.68707,203 S CLAIBORNE ST
GMU,RIVER HERITAGE MUSEUM,RIVER HERITAGE MUSEUM,3 LOCK & DAM RD,AL,36444,2512824206, , ,-87.45344,31.66616,3 LOCK & DAM RD
GMU,MUSEUM OF URBAN ART,MUSEUM OF URBAN ART,1527 5TH AVE N,AL,35203,2058218119, , ,-86.81473,33.51487,1527 5TH AVE N
GMU,NATIONAL AFRICAN-AMERICAN ARCHIVES AND MUSEUM,NATIONAL AFRICAN-AMERICAN ARCHIVES AND MUSEUM,564 DR MARTIN LUTHER KING JR AVE,AL,36603,2514338511, , ,-88.05651,30.69693,564 DR MARTIN LUTHER KING JR AVE
GMU,NATIONAL MARITIME MUSEUM,NATIONAL MARITIME MUSEUM OF THE GULF OF MEXICO,250 N WATER ST,AL,36602,2514368901, ,1120580,-88.04092,30.69698,250 N WATER ST STE 131
GMU,MANN WILDLIFE LEARNING MUSEUM,MANN WILDLIFE LEARNING MUSEUM,325 E VANDIVER BLVD,AL,36110,3342404900,HTTP://WWW.MONTGOMERYZOO.COM, ,-86.27993,32.41765,325 E VANDIVER BLVD
GMU,JESSE OWENS MEMORIAL MUSEUM,JESSE OWENS MEMORIAL MUSEUM,7010 COUNTY ROAD 203,AL,35619,2569743636, , ,-87.17013,34.43882,7010 COUNTY ROAD 203
GMU,JEMISON CARNEGIE HERITAGE HALL,JEMISON CARNEGIE HERITAGE HALL,200 SOUTH ST E,AL,35160,2567611364,HTTP://WWW.HERITAGEHALLMUSEUM.ORG, ,-86.10316,33.43245,200 SOUTH ST E
GMU,JULE COLLINS SMITH MUSEUM,JULE COLLINS SMITH MUSEUM,901 S COLLEGE ST,AL,36830,3348441484,HTTP://JCSM.AUBURN.EDU/, ,-85.48474,32.5888,901 S COLLEGE ST
GMU,JOHN W INZER MUSEUM,JOHN W INZER MUSEUM INC,229 5TH STREET,AL,35953,2053382412, ,0,-86.23727,33.81868,PO BOX 702
GMU,INTERNATIONAL MOTORSPORTS HALL OF FAME,INTERNATIONAL MOTORSPORTS HALL OF FAME,3198 SPEEDWAY BLVD,AL,35096,2563625002,HTTP://WWW.MOTORSPORTSHALLOFFAME.COM/?HOMEPAGE=TRUE, ,-86.07354,33.58,3198 SPEEDWAY BLVD
GMU,GULF SHORES MUSEUM,GULF SHORES MUSEUM,244 W 19TH AVE,AL,36542,2519681473,HTTP://WWW.GULFSHORESAL.GOV/INDEX.ASPX?NID=356, ,-87.69586,30.27485,244 W 19TH AVE
GMU,GEORGE P MANN WILDLIFE AND LEARNING MUSEUM,GEORGE P MANN OUTDOORS IN,3161 SOCIETY HILL RD,AL,36804,3347417776, , ,-85.39071,32.61295,3161 SOCIETY HILL RD
GMU,GREENE MUSEUM,GREENE MUSEUM,500 14TH ST,AL,36867,3342985413, , ,-85.00075,32.47478,500 14TH ST
GMU,FOLEY MUSEUM AND ARCHIVES,FOLEY MUSEUM AND ARCHIVES,125 E LAUREL AVE,AL,36535,2519431818,HTTP://WWW.FOLEYRAILROADMUSEUM.COM, ,-87.68294,30.40641,125 E LAUREL AVE
GMU,GUNTERSVILLE MUSEUM AND CULTURAL CENTER,GUNTERSVILLE MUSEUM & CULTURAL CENTER ASSOCIATION,1215 RAYBURN AVE,AL,35976,2565717597,HTTP://WWW.GUNTERSVILLEMUSEUM.ORG,38330,-86.3036,34.34911,1215 RAYBURN AVE
GMU,FITZGERALD AND FITZGERALD MUSEUM,FITZGERALD AND FITZGERALD MUSEUM,919 FELDER AVE,AL,36106,3342644222, , ,-86.29266,32.35837,919 FELDER AVE
GMU,GAINESWOOD,GAINESWOOD,805 S CEDAR AVE,AL,36732,3342894846, , ,-87.83547,32.50857,805 S CEDAR AVE
