DISCIPLINE,COMMONNAME,LEGALNAME,ADSTREET,ADSTATE,ADZIP5,PHONE,WEBURL,REVENUE15,LONGITUDE,LATITUDE,GSTREET
 , , , , , , , , , , , 
HSC,STURDIVANT HALL,STURDIVANT MUSEUM ASSOCIATION OF SELMA INC,713 MABRY ST,AL,36702,3348725626, ,291156,-87.02243,32.40623,PO BOX 1205
HSC,SLOSS FURNACES NATIONAL HISTORIC LANDMARK,SLOSS FURNACES FOUNDATION INC,20 32ND ST N,AL,35222,2053241911,HTTP://SLOSSFURNACES.COM/,375106,-86.78855,33.52109,20 32ND ST N
HSC,NORTHPORT HERITAGE MUSEUM,FRIENDS OF HISTORIC NORTHPORT INC,1991 PARK ST,AL,35476,2055238720,HTTP://NORTHPORT-SMITHSONIAN.ORG/,0,-87.58354,33.23036,PO BOX 393
HSC,ORDEMAN-SHAW HOUSE,ORDEMAN-SHAW HOUSE,310 N HULL ST,AL,36104,3106485578, , ,-86.30384,32.38171,310 N HULL ST
HSC,MAGNOLIA GROVE,HISTORIC MAGNOLIA GROVE FOUNDATION INC,1002 HOBSON ST,AL,36744,3346248618,HTTP://PRESERVEALA.ORG/MAGNOLIAGROVE.ASPX?SM=G_K, ,-87.59424,32.71317,PO BOX 195
HSC,MUSEUMS OAKLEIGH MUSEUM,HISTORIC MOBILE PRESERVATION SOCIETY INC,350 OAKLEIGH PL,AL,36604,2514321281, ,284056,-88.06003,30.68068,300 OAKLEIGH PL
HSC,IMAGINATION PLACE,GADSDEN CULTURAL ARTS FOUNDATION INC,501 BROAD ST,AL,35901,2565432787,HTTP://WWW.CULTURALARTS.ORG,1745386,-86.00513,34.01391,501 BROAD ST
HSC,SAVARY LIBRARY - GALANGUE ROOM AFRICAN ARTIFACTS COLLECTION,HISTORICAL COLLECTIONS-GALANGUE RM.,627 WEST BATTLE STREET,AL,35160, , , ,-86.10978,33.43327,627 WEST BATTLE STREET
HSC,FORT MORGAN STATE HISTORIC SITE,FORT MORGAN STATE HISTORIC SITE,51 HWY 180 W,AL,36542,2515407127,HTTP://FORTMORGAN.ORG/, ,-88.00148,30.22975,110 STATE HIGHWAY 180
HSC,FENDALL HALL,FRIENDS OF FENDALL HALL INC,917 W BARBOUR ST,AL,36027,3346878469,HTTP://PRESERVEALA.ORG/FENDALLHALL.ASPX?SM=G_E,0,-85.1683,31.8911,114 STONE RIDGE RD
HSC,CLEMENTS HOUSE,FRIENDS OF HISTORIC NORTHPORT INC,1802 20TH AVE,AL,35476,8022084283, ,0,-87.58354,33.23036,PO BOX 393
HSC,CLARKE CO HISTORICAL MUSEUM,CLARKE COUNTY HISTORICAL SOCIETY,116 W COBB ST,AL,36451,2512752014,HTTP://CLARKECOUNTYAL.COM/,0,-87.78712,31.68673,116 COBB STREET
HSC,FAYETTE HISTORICAL MUSEUM,FAYETTE HISTORICAL MUSEUM,221 TEMPLE AVE S,AL,35555,2059048791, , ,-87.83093,33.68378,221 TEMPLE AVE S
HSC,CHEROKEE HISTORICAL MUSEUM,CHEROKEE COUNTY HISTORICAL SOCIETY INC,101 E MAIN ST,AL,35960,2569277835,HTTP://WWW.MUSEUMATCENTRE.COM/,0,-85.67829,34.15357,101 E MAIN ST
HSC,AMERICAN VILLAGE,AMERICAN VILLAGE,3727 HIGHWAY 119,AL,35115,2056653535,HTTP://WWW.AMERICANVILLAGE.ORG/SITE/PAGESERVER, ,-86.85865,33.10622,3727 HIGHWAY 119
HSC,ALABAMA CONSTITUTION VILLAGE,ALABAMA CONSTITUTION VILLAGE FOUNDATION,109 GATES AVE SE,AL,35801,2565648100,HTTP://WWW.EARLYWORKS.COM/ALABAMA-CONSTITUTION-VILLAGE/,806811,-86.57223,34.72664,109 GATES AVENUE SOUTHWEST
HSC,BELLE MONT MANSION,BELLE MONT MANSION,12280 AL HWY 20,AL,35643,2566378513,HTTP://BELLEMONT.WEEBLY.COM/, ,-87.67689,34.68412,1569 COOK LANE
HSC,BRAGG-MITCHELL MANSION,BRAGG-MITCHELL MANSION,1906 SPRINGHILL AVENUE,AL,36607,2514716364,HTTP://WWW.BRAGGMITCHELLMANSION.COM/, ,-88.0876,30.69172,1906 SPRINGHILL AVENUE
HSC,HARRIS BARRETT SCHOOL,HARRIS BARRETT SCHOOL INC,1755 COUNTY ROAD 27,AL,36083, , ,0,-85.76358,32.47951,1755 COUNTY ROAD 27
HSC,PETERMAN HISTORICAL SOCIETY,PETERMAN HISTORICAL SOCIETY,167 MAIN ST,AL,36471, , ,0,-87.26272,31.58501,167 MAIN ST
HSC,ARTSREVIVE,ARTSREVIVE COMMUNITY DEVELOPMENT CORPORATION,PO BOX 2548,AL,36702,3348782787,HTTP://ARTSREVIVE.COM/,206923,-87.02243,32.40623,PO BOX 2548
HSC,COLLINSVILLE HISTORICAL ASSOCIATION,COLLINSVILLE HISTORICAL ASSOCIATION INC,PO BOX 849,AL,35961, ,HTTP://WWW.GEMOFTHEVALLEY.NET/,0,-85.86513,34.26189,PO BOX 849
HSC,HENRY COUNTY VETERANS MEMORIAL PARK,HENRY COUNTY VETERANS MEMORIAL PARK,PO BOX 115,AL,36373, , ,9804,-85.12046,31.53708,PO BOX 115
HSC,BARBOUR COUNTY GOVERNORS TRAIL,BARBOUR COUNTY GOVERNORS TRAIL COUNCIL INC,PO BOX 403,AL,36016, , ,0,-85.43541,31.84169,PO BOX 403
HSC,GARDENDALE HISTORICAL SOCIETY,GARDENDALE HISTORICAL SOCIETY INC,PO BOX 1044,AL,35071,2056315662, ,0,-86.83788,33.69468,PO BOX 1044
HSC,HISTORIC RESTORATION SOCIETY,HISTORIC RESTORATION SOCIETY INC,PO BOX 70047,AL,36670, , ,0,-88.10617,30.69597,PO BOX 70047
HSC,CULLMAN COUNTY HISTORICAL SOCIETY,CULLMAN COUNTY HISTORICAL SOCIETYINC,PO BOX 804,AL,35056, , ,0,-86.85111,34.18014,PO BOX 804
HSC,OAKVILLE INDIAN MOUNDS,FRIENDS OF OAKVILLE INDIAN MOUNDS,1219 COUNTRY ROAD 187,AL,35619,2569052494,HTTP://WWW.OAKVILLEINDIANMOUNDS.COM/, ,-87.18117,34.43827,1219 COUNTRY ROAD 187
HSC,AUBURN PRESERVATION LEAGUE,AUBURN PRESERVATION LEAGUE,PO BOX 2945,AL,36831, , ,0,-85.47712,32.61251,PO BOX 2945
